,ROILabel,Lobular,Gene,Expression,X_position,Y_position,Group,type
249,22,Region 4,CXCL14,-0.320159765,16216,48941,Group 1,Zone 3
250,23,Region 4,CXCL14,-1.057124033,15924,48753,Group 1,Zone 2
251,24,Region 4,CXCL14,-0.721995885,15654,48634,Group 1,Zone 2
252,25,Region 4,CXCL14,-1.790911732,15394,48608,Group 1,Zone 1
253,26,Region 4,CXCL14,-1.136538287,15021,48429,Group 1,Zone 1
254,28,Region 5,CXCL14,0.04196923,22433,54552,Group 1,Zone 3
255,29,Region 5,CXCL14,-0.172449254,22806,54453,Group 1,Zone 3
256,30,Region 5,CXCL14,-0.131153842,23106,54386,Group 1,Zone 2
257,31,Region 5,CXCL14,-0.602874506,23382,54236,Group 1,Zone 2
258,32,Region 5,CXCL14,-0.645758202,23666,54171,Group 1,Zone 1
259,33,Region 5,CXCL14,-1.006298911,24119,53993,Group 1,Zone 1
260,42,Region 6,CXCL14,1.455542935,16525,26339,Group 1,Zone 3
261,43,Region 6,CXCL14,1.115649931,16761,25810,Group 1,Zone 2
262,44,Region 6,CXCL14,-0.031091883,16770,25489,Group 1,Zone 2
263,45,Region 6,CXCL14,-0.393220877,16815,25063,Group 1,Zone 1
264,46,Region 6,CXCL14,-1.130185146,16811,24672,Group 1,Zone 1
265,2,Region 1,CYP1A2,2.132834994,26912,24305,Group 1,Zone 3
266,3,Region 1,CYP1A2,1.724747043,26867,24276,Group 1,Zone 3
267,4,Region 1,CYP1A2,0.359169413,26572,23905,Group 1,Zone 2
268,5,Region 1,CYP1A2,-0.953381384,26008,23308,Group 1,Zone 2
269,6,Region 1,CYP1A2,-1.056701709,25778,22864,Group 1,Zone 1
270,7,Region 1,CYP1A2,-0.176292272,25456,22090,Group 1,Zone 1
271,16,Region 2,CYP1A2,1.872074173,27853,44984,Group 1,Zone 3
272,17,Region 2,CYP1A2,0.130935361,27733,45350,Group 1,Zone 3
273,18,Region 2,CYP1A2,0.660383694,27689,45746,Group 1,Zone 2
274,34,Region 2,CYP1A2,-0.294645978,27432,46002,Group 1,Zone 2
275,35,Region 2,CYP1A2,-0.178205611,27068,46387,Group 1,Zone 1
276,36,Region 2,CYP1A2,-0.477506553,26783,46709,Group 1,Zone 1
277,37,Region 3,CYP1A2,2.004641257,27522,44296,Group 1,Zone 3
278,38,Region 3,CYP1A2,1.195845379,27233,44126,Group 1,Zone 2
279,39,Region 3,CYP1A2,-0.573993523,26877,43945,Group 1,Zone 2
280,40,Region 3,CYP1A2,-0.967594762,26306,44070,Group 1,Zone 1
281,21,Region 4,CYP1A2,1.223452132,16357,48999,Group 1,Zone 3
282,22,Region 4,CYP1A2,0.321995963,16216,48941,Group 1,Zone 3
283,23,Region 4,CYP1A2,-0.107138721,15924,48753,Group 1,Zone 2
284,24,Region 4,CYP1A2,-0.452633141,15654,48634,Group 1,Zone 2
285,25,Region 4,CYP1A2,-1.083215125,15394,48608,Group 1,Zone 1
286,26,Region 4,CYP1A2,-1.116015229,15021,48429,Group 1,Zone 1
287,28,Region 5,CYP1A2,1.069838316,22433,54552,Group 1,Zone 3
288,29,Region 5,CYP1A2,-0.400972979,22806,54453,Group 1,Zone 3
289,30,Region 5,CYP1A2,-0.478873224,23106,54386,Group 1,Zone 2
290,31,Region 5,CYP1A2,-0.851701064,23382,54236,Group 1,Zone 2
291,32,Region 5,CYP1A2,-1.06654174,23666,54171,Group 1,Zone 1
292,33,Region 5,CYP1A2,-1.004494878,24119,53993,Group 1,Zone 1
293,42,Region 6,CYP1A2,0.708763846,16525,26339,Group 1,Zone 3
294,43,Region 6,CYP1A2,0.243549049,16761,25810,Group 1,Zone 2
295,44,Region 6,CYP1A2,-0.504293304,16770,25489,Group 1,Zone 2
296,45,Region 6,CYP1A2,-0.931241314,16815,25063,Group 1,Zone 1
297,46,Region 6,CYP1A2,-0.972788111,16811,24672,Group 1,Zone 1
298,2,Region 1,CYP2E1,0.850259658,26912,24305,Group 1,Zone 3
299,3,Region 1,CYP2E1,1.314830737,26867,24276,Group 1,Zone 3
300,4,Region 1,CYP2E1,1.158275122,26572,23905,Group 1,Zone 2
301,5,Region 1,CYP2E1,-0.314700818,26008,23308,Group 1,Zone 2
302,6,Region 1,CYP2E1,-0.929275813,25778,22864,Group 1,Zone 1
303,7,Region 1,CYP2E1,0.343851917,25456,22090,Group 1,Zone 1
304,16,Region 2,CYP2E1,1.020732279,27853,44984,Group 1,Zone 3
305,17,Region 2,CYP2E1,0.527898972,27733,45350,Group 1,Zone 3
306,18,Region 2,CYP2E1,0.808936855,27689,45746,Group 1,Zone 2
307,34,Region 2,CYP2E1,0.466749788,27432,46002,Group 1,Zone 2
308,35,Region 2,CYP2E1,-0.090101748,27068,46387,Group 1,Zone 1
309,36,Region 2,CYP2E1,-0.413789902,26783,46709,Group 1,Zone 1
310,37,Region 3,CYP2E1,1.354312213,27522,44296,Group 1,Zone 3
311,38,Region 3,CYP2E1,2.289620675,27233,44126,Group 1,Zone 2
312,39,Region 3,CYP2E1,0.855869282,26877,43945,Group 1,Zone 2
313,40,Region 3,CYP2E1,-0.728956566,26306,44070,Group 1,Zone 1
314,21,Region 4,CYP2E1,0.387615549,16357,48999,Group 1,Zone 3
315,22,Region 4,CYP2E1,0.259364984,16216,48941,Group 1,Zone 3
316,23,Region 4,CYP2E1,0.08028523,15924,48753,Group 1,Zone 2
317,24,Region 4,CYP2E1,-0.260488726,15654,48634,Group 1,Zone 2
318,25,Region 4,CYP2E1,-0.797685166,15394,48608,Group 1,Zone 1
319,26,Region 4,CYP2E1,-1.573140754,15021,48429,Group 1,Zone 1
320,28,Region 5,CYP2E1,0.570934638,22433,54552,Group 1,Zone 3
321,29,Region 5,CYP2E1,0.381192316,22806,54453,Group 1,Zone 3
322,30,Region 5,CYP2E1,0.6342249,23106,54386,Group 1,Zone 2
323,31,Region 5,CYP2E1,0.267030043,23382,54236,Group 1,Zone 2
324,32,Region 5,CYP2E1,-0.476266555,23666,54171,Group 1,Zone 1
325,33,Region 5,CYP2E1,-0.723860801,24119,53993,Group 1,Zone 1
326,42,Region 6,CYP2E1,-0.952699205,16525,26339,Group 1,Zone 3
327,43,Region 6,CYP2E1,-1.15104866,16761,25810,Group 1,Zone 2
328,44,Region 6,CYP2E1,-1.41825518,16770,25489,Group 1,Zone 2
329,45,Region 6,CYP2E1,-1.683020871,16815,25063,Group 1,Zone 1
330,46,Region 6,CYP2E1,-2.058694396,16811,24672,Group 1,Zone 1
331,2,Region 1,CYP3A4,1.69524102,26912,24305,Group 1,Zone 3
332,3,Region 1,CYP3A4,2.317786789,26867,24276,Group 1,Zone 3
333,4,Region 1,CYP3A4,1.299741355,26572,23905,Group 1,Zone 2
334,5,Region 1,CYP3A4,-0.917727898,26008,23308,Group 1,Zone 2
335,6,Region 1,CYP3A4,-0.935822654,25778,22864,Group 1,Zone 1
336,7,Region 1,CYP3A4,-6.53E-05,25456,22090,Group 1,Zone 1
337,16,Region 2,CYP3A4,1.14593593,27853,44984,Group 1,Zone 3
338,17,Region 2,CYP3A4,0.110226569,27733,45350,Group 1,Zone 3
339,18,Region 2,CYP3A4,0.387679492,27689,45746,Group 1,Zone 2
340,34,Region 2,CYP3A4,-0.213755728,27432,46002,Group 1,Zone 2
341,35,Region 2,CYP3A4,-0.475698861,27068,46387,Group 1,Zone 1
342,36,Region 2,CYP3A4,-0.400734872,26783,46709,Group 1,Zone 1
343,37,Region 3,CYP3A4,2.173028742,27522,44296,Group 1,Zone 3
344,38,Region 3,CYP3A4,1.915824711,27233,44126,Group 1,Zone 2
345,39,Region 3,CYP3A4,0.122720567,26877,43945,Group 1,Zone 2
346,40,Region 3,CYP3A4,-0.958225685,26306,44070,Group 1,Zone 1
347,21,Region 4,CYP3A4,0.151586011,16357,48999,Group 1,Zone 3
348,22,Region 4,CYP3A4,0.102902501,16216,48941,Group 1,Zone 3
349,23,Region 4,CYP3A4,0.227411654,15924,48753,Group 1,Zone 2
350,24,Region 4,CYP3A4,-0.36454536,15654,48634,Group 1,Zone 2
351,25,Region 4,CYP3A4,-1.002600919,15394,48608,Group 1,Zone 1
352,26,Region 4,CYP3A4,-1.215860543,15021,48429,Group 1,Zone 1
353,28,Region 5,CYP3A4,0.48892396,22433,54552,Group 1,Zone 3
354,29,Region 5,CYP3A4,-0.173257941,22806,54453,Group 1,Zone 3
355,30,Region 5,CYP3A4,-0.179720353,23106,54386,Group 1,Zone 2
356,31,Region 5,CYP3A4,-0.96598058,23382,54236,Group 1,Zone 2
357,32,Region 5,CYP3A4,-1.210690612,23666,54171,Group 1,Zone 1
